Country Name,Country Code,Year,average_value_CO2 emissions (kt)
Africa Eastern and Southern,AFE,1987,388106.04757928
Albania,ALB,1977,5720.52
Albania,ALB,2019,
Armenia,ARM,2020,
Azerbaijan,AZE,2013,31390
Azerbaijan,AZE,2015,32170
Burkina Faso,BFA,1993,620
Bulgaria,BGR,1989,86739.218
Belarus,BLR,1963,
Brunei Darussalam,BRN,1984,1917.841
Central African Republic,CAF,1966,84.341
Central African Republic,CAF,1992,150
Chile,CHL,1960,13490.893
China,CHN,2014,9894940
Cyprus,CYP,1974,1925.175
Dominica,DMA,1962,11.001
Dominican Republic,DOM,1970,3109.616
Algeria,DZA,2012,126640
Estonia,EST,1968,
Fragile and conflict affected situations,FCS,1986,435514.944438198
Fiji,FJI,2008,960
United Kingdom,GBR,1998,525030
Ghana,GHA,2003,7130
Gibraltar,GIB,1996,
"Gambia, The",GMB,1995,220
"Gambia, The",GMB,2003,300
Equatorial Guinea,GNQ,1986,80.674
Guyana,GUY,1961,737.067
Haiti,HTI,2001,1600
Haiti,HTI,2010,2460
IBRD only,IBD,1977,8205527.35199303
IDA only,IDX,1998,157172.251979215
IDA only,IDX,2012,311456.663519405
IDA only,IDX,2013,312058.04927499
Isle of Man,IMN,1975,
Isle of Man,IMN,2017,
India,IND,2005,1137740
"Iran, Islamic Rep.",IRN,1968,82404.824
Iraq,IRQ,1992,67390
Israel,ISR,2013,67000
Jamaica,JAM,2003,10590
Cambodia,KHM,1997,1700
Kiribati,KIR,2013,60
Kuwait,KWT,1987,31470.194
Liberia,LBR,1967,612.389
Libya,LBY,1979,26032.033
Lower middle income,LMC,1974,1134795.79956193
Lower middle income,LMC,1980,1464118.0512894
Morocco,MAR,2004,42170
Maldives,MDV,2005,710
Mexico,MEX,1967,90101.857
Mexico,MEX,1985,288501.225
Mali,MLI,2005,1650
Malta,MLT,2007,2710
Myanmar,MMR,1974,4675.425
Middle East & North Africa (excluding high income),MNA,1978,376692.683138581
Mozambique,MOZ,2003,1910
Mauritania,MRT,2000,1120
Malawi,MWI,1971,502.379
Namibia,NAM,1977,
New Caledonia,NCL,2009,
Nicaragua,NIC,2019,
Netherlands,NLD,2003,170460
Nauru,NRU,1992,120
Panama,PAN,1999,5010
Philippines,PHL,2002,72940
Poland,POL,2008,308320
"Korea, Dem. People's Rep.",PRK,2011,37040
"Korea, Dem. People's Rep.",PRK,2015,25300
Portugal,PRT,1975,21356.608
Portugal,PRT,1990,41070
Pacific island small states,PSS,2020,
Qatar,QAT,1979,14359.972
Saudi Arabia,SAU,2005,308970
Senegal,SEN,2005,5670
South Sudan,SSD,1994,0
Slovenia,SVN,1992,12830
Togo,TGO,1998,1200
Thailand,THA,1993,122060
Latin America & the Caribbean (IDA & IBRD countries),TLA,1995,1004850
Middle East & North Africa (IDA & IBRD countries),TMN,1991,549730
Tonga,TON,1975,33.003
Trinidad and Tobago,TTO,2018,17760
Uganda,UGA,2020,
World,WLD,1992,20741660.8600961
World,WLD,2001,23707262.4684296
Kosovo,XKX,2011,
"Yemen, Rep.",YEM,1992,9130
Zimbabwe,ZWE,2007,9760
Aruba,ABW,1976,21862.654
Andorra,AND,2019,
Argentina,ARG,1988,121473.042
Argentina,ARG,1991,105320
Austria,AUT,1984,54550.292
Bosnia and Herzegovina,BIH,2016,22340
Belarus,BLR,2007,57350
Bermuda,BMU,1965,179.683
Brazil,BRA,1999,300620
Brazil,BRA,2008,372160
Brunei Darussalam,BRN,1986,2299.209
Central Europe and the Baltics,CEB,2003,737230
"Congo, Rep.",COG,1966,308.028
"Congo, Rep.",COG,1984,1140.437
Colombia,COL,1997,63590
